result,file,time,errors
failure,/home/mitchell/src/elixir/lib/elixir/lib/kernel.ex,91,"[{[line: 4113, column: 13], ""unknown token: range_op""}, {[line: 4113, column: 15], ""missing closing parentheses""}]"
success,/home/mitchell/src/elixir/lib/eex/lib/eex.ex,2,
success,/home/mitchell/src/elixir/lib/eex/lib/eex/compiler.ex,4,
success,/home/mitchell/src/elixir/lib/eex/lib/eex/engine.ex,2,
success,/home/mitchell/src/elixir/lib/eex/lib/eex/smart_engine.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/access.ex,4,
success,/home/mitchell/src/elixir/lib/elixir/lib/agent.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/agent/server.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/application.ex,4,
success,/home/mitchell/src/elixir/lib/elixir/lib/atom.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/base.ex,7,
success,/home/mitchell/src/elixir/lib/elixir/lib/behaviour.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/bitwise.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar.ex,5,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/date.ex,6,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/date_range.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/datetime.ex,10,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/iso.ex,11,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/naive_datetime.ex,5,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/time.ex,4,
success,/home/mitchell/src/elixir/lib/elixir/lib/calendar/time_zone_database.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/code.ex,15,
success,/home/mitchell/src/elixir/lib/elixir/lib/code/formatter.ex,36,
success,/home/mitchell/src/elixir/lib/elixir/lib/code/fragment.ex,8,
success,/home/mitchell/src/elixir/lib/elixir/lib/code/identifier.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/code/normalizer.ex,3,
success,/home/mitchell/src/elixir/lib/elixir/lib/code/typespec.ex,5,
success,/home/mitchell/src/elixir/lib/elixir/lib/collectable.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/config.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/config/provider.ex,3,
success,/home/mitchell/src/elixir/lib/elixir/lib/config/reader.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/dict.ex,3,
success,/home/mitchell/src/elixir/lib/elixir/lib/dynamic_supervisor.ex,16,
success,/home/mitchell/src/elixir/lib/elixir/lib/enum.ex,95,
success,/home/mitchell/src/elixir/lib/elixir/lib/exception.ex,48,
success,/home/mitchell/src/elixir/lib/elixir/lib/file.ex,18,
success,/home/mitchell/src/elixir/lib/elixir/lib/file/stat.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/file/stream.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/float.ex,5,
success,/home/mitchell/src/elixir/lib/elixir/lib/function.ex,0,
success,/home/mitchell/src/elixir/lib/elixir/lib/gen_event.ex,15,
success,/home/mitchell/src/elixir/lib/elixir/lib/gen_event/stream.ex,1,
success,/home/mitchell/src/elixir/lib/elixir/lib/gen_server.ex,12,
success,/home/mitchell/src/elixir/lib/elixir/lib/hash_dict.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/hash_set.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/inspect.ex,9,
success,/home/mitchell/src/elixir/lib/elixir/lib/inspect/algebra.ex,15,
success,/home/mitchell/src/elixir/lib/elixir/lib/integer.ex,2,
success,/home/mitchell/src/elixir/lib/elixir/lib/io.ex,8,
success,/home/mitchell/src/elixir/lib/elixir/lib/io/ansi.ex,6,
success,/home/mitchell/src/elixir/lib/elixir/lib/io/ansi/docs.ex,19,
success,/home/mitchell/src/elixir/lib/elixir/lib/io/stream.ex,0,
